id = 184
editor = MH


### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2022
reference = arxiv.org/pdf/2211.11274
inspiretex = CLAS:2022syx
reference2 = bin averages by M.H.

### Scattering Process

frame = Trento

in1particle = em
in1energy = 10.6
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LU}


y1name = ALU
y1namelong = Beam Spin Asymmetry
y1unit = 1
y1value = column5
y1errorstatistic = column6 
y1errorsystematic = column7 
# only statistical error is given to us so syst error is 0

### x-axes

x1name = xB
x1unit = 1
x1value = column2

x2name = Q2
x2unit = GeV^2
x2value = column1

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
#
#  CLAS 2023 ALU
#                                                        error
#   Q2     xB     -t         phi            ALU       stat    syst
#################################################################
1.20665 0.15748 0.32277 188.99815013303387 -0.0561159 0.107109 0
1.20665 0.15748 0.32277 200.0883212155861 -0.0842423 0.0887338 0
1.20665 0.15748 0.32277 210.31619081646642 0.107171 0.0969639 0
1.20665 0.15748 0.32277 222.98084992003814 -0.0153734 0.109757 0
1.20665 0.15748 0.32277 241.35617936767878 0.0282101 0.125664 0
1.20665 0.15748 0.32277 262.55046116736304 -0.231368 0.14966 0
1.20665 0.15748 0.32277 279.51115781882567 -0.291731 0.125978 0
1.20665 0.15748 0.32277 297.7529881002008 -0.333396 0.107416 0
1.20665 0.15748 0.32277 311.78701633413516 -0.308636 0.0955393 0
1.20665 0.15748 0.32277 327.0540497431911 -0.279221 0.086342 0
1.20665 0.15748 0.32277 352.40857809332033 -0.0272579 0.0277363 0
1.23055 0.23951 0.34267 5.193719173412131 -0.0168883 0.0886718 0
1.23055 0.23951 0.34267 19.035835193867445 0.241084 0.0755443 0
1.23055 0.23951 0.34267 48.52482699366065 0.108479 0.157647 0
1.23055 0.23951 0.34267 115.64121770684432 0.103166 0.197125 0
1.23055 0.23951 0.34267 264.15130524695854 -0.35183 0.296074 0
1.23055 0.23951 0.34267 303.8567074917295 -0.00844682 0.150572 0
1.23055 0.23951 0.34267 349.93110858717466 -0.067066 0.0715668 0
