id = 162
editor = MH
# XUUw obtained by fit to the first two sin harmonics


collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2018
reference = arxiv.org/pdf/1810.02110

### Scattering Process

frame = Trento

in1energy = 5.88
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XUUw


y1name = XUUw
y1namelong = weigthed Beam Helicity Independent Cross Section
y1unit = nb/GeV^4
y1value = column4
y1errorstatistic = column5
# Systematic error include c0/c1 enhancement of cos(phi)
y1errorsystematic = column6  


### x-axes

x1name = xB
x1unit = 1
x1value = column2

x2name = Q2
x2unit = GeV^2
x2value = column1

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = FTn
x4unit = 1
x4value = column7

### Data
#
# CLAS 2018 XUUw
#
#  Q2       xB       tm        FTval   FTstat  FTsyst   FTn 
###########################################################
3.811000 0.463000 0.456000  0.000455 0.001641 0.000593    1
3.882000 0.475000 0.617000  0.000231 0.000885 0.000286    1
3.916000 0.484000 0.890000 -0.000106 0.000455 0.000097    1


#1.128000 0.124000 0.108000 -0.178402 0.292244 0.263298    2
1.129000 0.124000 0.152000  0.185746 0.148631 0.160480    2
1.129000 0.125000 0.203000  0.039009 0.110633 0.099061    2
1.130000 0.125000 0.261000  0.012636 0.046571 0.062512    2
1.299000 0.154000 0.109000  0.178790 0.108908 0.153800    2
1.301000 0.154000 0.153000 -0.051045 0.063077 0.090292    2
1.301000 0.154000 0.203000  0.032748 0.041572 0.053749    2
1.302000 0.154000 0.262000  0.077093 0.033471 0.037504    2
1.424000 0.155000 0.108000 -0.020657 0.225644 0.168392    2
1.425000 0.155000 0.153000  0.150984 0.104588 0.113162    2
1.426000 0.155000 0.203000 -0.028069 0.076985 0.061015    2
1.426000 0.155000 0.262000  0.025432 0.030621 0.040815    2
1.426000 0.155000 0.340000  0.003425 0.073389 0.024922    2
1.484000 0.184000 0.109000 -0.072765 0.045108 0.084735    2
1.486000 0.184000 0.154000 -0.026764 0.032404 0.052355    2
1.487000 0.184000 0.203000  0.005007 0.022372 0.034809    2
1.487000 0.184000 0.262000  0.018370 0.118453 0.021589    2
1.487000 0.184000 0.341000 -0.008802 0.018724 0.012650    2
1.670000 0.185000 0.109000 -0.003896 0.068748 0.103841    2
1.670000 0.185000 0.153000 -0.089436 0.044045 0.062724    2
1.671000 0.185000 0.203000  0.020874 0.033809 0.043180    2
1.671000 0.185000 0.262000 -0.001007 0.022706 0.025003    2
1.671000 0.185000 0.340000  0.014355 0.012491 0.015343    2
1.682000 0.214000 0.110000 -0.033435 0.022859 0.047754    2
1.683000 0.214000 0.154000 -0.057539 0.013253 0.032343    2
1.684000 0.214000 0.204000 -0.016610 0.010032 0.021324    2
1.684000 0.214000 0.262000 -0.015427 0.008081 0.014019    2
1.684000 0.214000 0.341000 -0.006966 0.009151 0.008451    2
1.933000 0.214000 0.109000 -0.003735 0.026971 0.060330    2
1.934000 0.215000 0.153000 -0.017306 0.021791 0.043214    2
1.935000 0.215000 0.203000 -0.067150 0.017910 0.025723    2
1.934000 0.215000 0.262000 -0.013440 0.013872 0.016472    2
1.934000 0.215000 0.341000 -0.009848 0.006994 0.009460    2
1.934000 0.215000 0.447000 -0.010720 0.005657 0.005019    2
1.844000 0.244000 0.110000 -0.052582 0.010332 0.022215    2
1.846000 0.244000 0.154000 -0.023548 0.009915 0.019522    2
1.846000 0.244000 0.204000 -0.028222 0.007655 0.013660    2
1.846000 0.244000 0.264000  0.019866 0.015770 0.009812    2
1.846000 0.244000 0.342000 -0.008342 0.011774 0.006048    2
1.847000 0.244000 0.448000 -0.010948 0.007219 0.002508    2
2.173000 0.244000 0.110000 -0.041111 0.015133 0.028425    2
2.167000 0.245000 0.154000 -0.029873 0.009513 0.025147    2
2.176000 0.245000 0.203000 -0.030576 0.012817 0.017021    2
2.175000 0.245000 0.262000 -0.014489 0.006897 0.011462    2
2.174000 0.245000 0.341000 -0.006267 0.055846 0.007253    2
#2.172000 0.245000 0.448000  0.031349 7.596885 0.006242    2
1.991000 0.273000 0.111000 -0.051806 0.027042 0.007250    2
1.995000 0.274000 0.155000 -0.000082 0.008021 0.010838    2
1.996000 0.274000 0.204000 -0.004186 0.008527 0.008391    2
1.996000 0.274000 0.264000  0.006056 0.007653 0.006713    2
1.996000 0.274000 0.343000 -0.009311 0.009380 0.004067    2
1.996000 0.274000 0.449000  0.017164 0.022811 0.003810    2
2.406000 0.273000 0.111000 -0.013430 0.014480 0.009229    2
2.415000 0.274000 0.155000  0.002908 0.006363 0.013878    2
2.406000 0.275000 0.204000  0.010761 0.006477 0.012858    2
2.414000 0.275000 0.263000 -0.009341 0.003912 0.007841    2
2.411000 0.275000 0.341000  0.000046 0.003997 0.005121    2
2.409000 0.275000 0.448000 -0.004800 0.003077 0.002746    2
2.144000 0.301000 0.118000 -0.087711 0.074941 0.008017    2
2.160000 0.304000 0.155000  0.024056 0.008274 0.007638    2
2.162000 0.304000 0.205000  0.015404 0.017058 0.006812    2
2.162000 0.304000 0.264000 -0.004245 0.005502 0.003586    2
